Target,Primary,Indicator
5_Habitat loss degradation and fragmentation,2,Living Planet Index (forest specialists)
5_Habitat loss degradation and fragmentation,2,Living Planet Index
5_Habitat loss degradation and fragmentation,2,Ocean Health Index
5_Habitat loss degradation and fragmentation,2,Cumulative Human Impacts on Marine Ecosystems
5_Habitat loss degradation and fragmentation,2,Wildlife Picture Index
5_Habitat loss degradation and fragmentation,2,Protected area coverage
5_Habitat loss degradation and fragmentation,2,Legislation for prevention and control of invasive alien species (IAS); encompassing “Trends in policy responses; legislation and management plans to control and prevent spread of invasive alien species” and “Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species”
5_Habitat loss degradation and fragmentation,2,Trends in invasive alien species vertebrate eradications
5_Habitat loss degradation and fragmentation,2,Red List Index
5_Habitat loss degradation and fragmentation,1,Forest area as a proportion of total land area
5_Habitat loss degradation and fragmentation,1,CGMFC-21 - Continuous Global Mangrove Forest Cover for the 21st Century
5_Habitat loss degradation and fragmentation,1,Biodiversity Habitat Index
5_Habitat loss degradation and fragmentation,1,Wetland Extent Trends Index
5_Habitat loss degradation and fragmentation,1,Red List Index (forest specialist species)
5_Habitat loss degradation and fragmentation,1,Proportion of land that is degraded over total land area
6_Fisheries,2,Living Planet Index
6_Fisheries,2,Ocean Health Index
6_Fisheries,2,Cumulative Human Impacts on Marine Ecosystems
6_Fisheries,2,Red List Index
6_Fisheries,1,Marine Trophic Index
6_Fisheries,1,MSC Certified Catch
6_Fisheries,1,Proportion of fish stocks within biologically sustainable levels
6_Fisheries,1,Red List Index (impacts of fisheries)
6_Fisheries,1,Living Planet Index (trends in target and bycatch species)
7_Sustainable agriculture aquaculture forestry,2,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
7_Sustainable agriculture aquaculture forestry,2,Living Planet Index (forest specialists)
7_Sustainable agriculture aquaculture forestry,2,Ocean Health Index
7_Sustainable agriculture aquaculture forestry,2,Human Appropriation of Net Primary Production (HANPP)
7_Sustainable agriculture aquaculture forestry,2,Wildlife Picture Index
7_Sustainable agriculture aquaculture forestry,2,Red List Index
7_Sustainable agriculture aquaculture forestry,1,Wild Bird Index (forest & farmland specialist birds)
7_Sustainable agriculture aquaculture forestry,1,Area of forest under sustainable management: total FSC and PEFC forest management certification
7_Sustainable agriculture aquaculture forestry,1,Living Planet Index (farmland specialists)
8_Pollution,2,Human Appropriation of Net Primary Production (HANPP)
8_Pollution,2,Red List Index
8_Pollution,1,Trends in Nitrogen Deposition
8_Pollution,1,Trends in Loss of Reactive Nitrogen to the Environment
8_Pollution,1,Water Quality Index for Biodiversity
8_Pollution,1,Red List Index (impacts of pollution)
9_Invasive Alien Species,2,Growth in Species Occurrence Records Accessible Through GBIF
9_Invasive Alien Species,2,Red List Index
9_Invasive Alien Species,1,Trends in the numbers of invasive alien species introduction events
9_Invasive Alien Species,1,Red List Index (impacts of invasive alien species)
9_Invasive Alien Species,1,Legislation for prevention and control of invasive alien species (IAS); encompassing “Trends in policy responses; legislation and management plans to control and prevent spread of invasive alien species” and “Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species”
9_Invasive Alien Species,1,Trends in invasive alien species vertebrate eradications
2_Biodiversity values mainstreamed,1,None
